	gene	locus_tag	product	protein_id	EC_number
1580	NA	SMc01216	Hypothetical protein	CAC46154.1	NA
1581	carB	SMc01215	Probable carbamoyl-phosphate synthase large 	CAC46155.1	6.3.5.5
1582	NA	SMc01214	Putative zinc-binding dehydrogenase	CAC46156.1	1.1.1.-
1583	NA	SMc01213	Hypothetical transmembrane protein	CAC46157.1	NA
1584	NA	SMc04594	MFS-type transport protein	CAC46158.1	NA
1585	norM	SMc01211	Na+-driven multidrug efflux pump	CAC46159.1	NA
1586	NA	SMc01210	Hypothetical protein	CAC46160.1	NA
1587	coaD	SMc01209	Probable phosphopantetheine adenylyltransferase	CAC46161.1	2.7.7.3
1588	ppiA	SMc01700	Putative peptidyl-prolyl cis-trans isomerase A 	CAC46162.1	5.2.1.8
1589	ppiB	SMc01208	Putative peptidyl-prolyl cis-trans isomerase B	CAC46163.1	5.2.1.8
1590	queA	SMc01207	Probable S-adenosylmethionine:tRNA 	CAC46164.1	5.-.-.-
1591	tgt	SMc01206	Probable queuine tRNA-ribosyltransferase 	CAC46165.1	2.4.2.29
1592	NA	SMc01205	Putative amino acid ABC transporter	CAC46166.1	NA
1593	NA	SMc01204	Probable short-chain dehydrogenase	CAC46167.1	1.-.-.-
1594	NA	SMc01203	Hypothetical transmembrane protein	CAC46168.1	NA
1595	NA	SMc01202	Putative lipoprotein	CAC46169.1	NA
1596	NA	SMc01200	Hypothetical transmembrane protein	CAC46170.1	NA
1597	NA	SMc01698	Putative oxidoreductase	CAC46171.1	1.-.-.-
1598	NA	SMc02814	Putative MFS permease	CAC46172.1	NA
1599	NA	SMc01199	Conserved hypothetical protein	CAC46173.1	NA
1600	NA	SMc01198	Hypothetical transmembrane protein	CAC46174.1	NA
1601	NA	SMc01197	Hypothetical protein	CAC46175.1	NA
1602	NA	SMc01196	Conserved hypothetical protein	CAC46176.1	NA
1603	NA	SMc04530	Probable TRm24 transposase	CAC46177.1	NA
1604	NA	SMc01194	Conserved hypothetical protein	CAC46178.1	NA
1605	NA	SMc01193	Conserved hypothetical protein	CAC46179.1	NA
1606	metS	SMc01192	Probable methionyl-tRNA synthetase 	CAC46180.1	6.1.1.10
1607	NA	SMc01191	Hypothetical/unknown protein	CAC46181.1	NA
1608	NA	SMc01190	Putative DNA polymerase III, delta' subunit	CAC46182.1	2.7.7.7
1609	tmk	SMc01189	Putative thymidylate kinase, dTMP kinase	CAC46183.1	2.7.4.9
1610	dac	SMc01188	Putative penicillin-binding precursor 	CAC46184.1	3.4.16.4
1611	rlpA	SMc01187	Putative rare lipoprotein A precursor	CAC46185.1	NA
1612	tRNA-SER_TGA	SMc01243	Hypothetical protein	CAC46186.1	NA
1613	NA	SMc01185	Hypothetical signal peptide protein	CAC46187.1	NA
1614	tRNA-ALA_CGC	SMc01244	Hypothetical transmembrane protein	CAC46188.1	NA
1615	tRNA-CYS_GCA	SMc01251	Putative LexA repressor transcription regulator	CAC46189.1	3.4.21.88
1616	NA	SMc04666	Hypothetical protein	CAC46190.1	NA
1617	NA	SMc01181	Putative transmembrane protein	CAC46191.1	NA
1618	tRNA-ASN_GTT	SMc01245	Conserved hypothetical transmembrane protein	CAC46192.1	NA
1619	NA	SMc01179	Putative multidrug export protein	CAC46193.1	NA
1620	NA	SMc01178	Putative multidrug export protein	CAC46194.1	NA
1621	NA	SMc01177	Conserved hypothetical protein	CAC46195.1	NA
1622	NA	SMc01176	Conserved hypothetical protein	CAC46196.1	NA
1623	NA	SMc01175	Probable oxidoreductase	CAC46197.1	1.-.-.-
1624	cysK2	SMc01174	Probable cysteine synthase A (O-acetylserine 	CAC46198.1	2.5.1.47
1625	alaS2	SMc04529	Probable alanyl-tRNA synthetase	CAC46199.1	6.1.1.7
1626	sseA	SMc01172	Putative 3-mercaptopyruvate sulfurtransferase	CAC46200.1	2.8.1.2
1627	NA	SMc01171	Probable thiosulfate sulfurtransferase	CAC46201.1	2.8.1.1
1628	NA	SMc01170	Conserved hypothetical protein	CAC46202.1	NA
1629	ald	SMc01169	Probable alanine dehydrogenase oxidoreductase	CAC46203.1	1.4.1.1
1630	lrp2	SMc01168	Probable leucine-responsive transcriptional 	CAC46204.1	NA
1631	cpdB	SMc04556	Probable 2',3'-cyclic-nucleotide 	CAC46205.1	3.1.4.16
1632	NA	SMc00935	Conserved hypothetical protein	CAC46206.1	NA
1633	ilvA	SMc00936	Probable threonine dehydratase biosynthetic 	CAC46207.1	4.3.1.19
1634	trkH	SMc00937	Probable TRK system potassium uptake 	CAC46208.1	NA
1635	tRNA-LEU_TAA	SMc00957	Hypothetical protein	CAC46209.1	NA
1636	NA	SMc00939	Conserved hypothetical protein	CAC46210.1	NA
1637	NA	SMc00940	Hypothetical protein	CAC46211.1	NA
1638	NA	SMc00941	Hypothetical/unknown protein	CAC46212.1	NA
1639	NA	SMc00942	Conserved hypothetical protein	CAC46213.1	NA
1640	wrbA1	SMc00943	WrbA1 flavoprotein	CAC46214.1	NA
1641	NA	SMc00944	Hypothetical protein	CAC46215.1	NA
1642	gpt	SMc00945	Probable xanthine-guanine 	CAC46216.1	2.4.2.22
1643	NA	SMc00946	Conserved hypothetical protein	CAC46217.1	NA
1644	glnB	SMc00947	Nitrogen regulatory protein PII	CAC46218.1	NA
1645	glnA	SMc00948	Glutamine synthetase I	CAC46219.1	6.3.1.2
1646	NA	SMc00949	Conserved hypothetical protein	CAC46220.1	NA
1647	NA	SMc00950	Hypothetical protein signal peptide	CAC46221.1	NA
1648	NA	SMc00951	Periplasmic solute-binding protein	CAC46222.1	NA
1649	NA	SMc00952	Conserved hypothetical protein	CAC46223.1	NA
1650	NA	SMc00953	Putative transcription regulator	CAC46224.1	NA
1651	atsA	SMc00954	Arylsulfatase	CAC46225.1	3.1.6.1
1652	NA	SMc00955	Conserved hypothetical protein	CAC46226.1	NA
1653	NA	SMc00959	Hypothetical/unknown protein	CAC46227.1	NA
1654	xthA1	SMc00956	Probable exodeoxyribonuclease III	CAC46228.1	3.1.11.2
1655	NA	SMc04555	Hypothetical/unknown protein	CAC46229.1	NA
1656	mfd	SMc04450	Probable transcription-repair coupling factor 	CAC46230.1	NA
1657	NA	SMc00227	Conserved hypothetical protein	CAC46231.1	NA
1658	recG	SMc00228	Probable ATP-dependent DNA helicase	CAC46232.1	3.6.1.-
1659	NA	SMc00229	Hypothetical transmembrane protein	CAC46233.1	NA
1660	NA	SMc00230	Putative acetyltransferase	CAC46234.1	2.3.1.-
1661	glmS	SMc00231	Glucosamine--fructose-6-phosphate 	CAC46235.1	2.6.1.16
1662	glmU	SMc00232	Probable Bifunctional protein GlmU: 	CAC46236.1	unknown EC_number
1663	NA	SMc00233	Hypothetical transmembrane protein	CAC46237.1	NA
1664	ppiD	SMc00234	Putative peptidyl-prolyl cis-trans isomerase	CAC46238.1	5.2.1.8
1665	trpD	SMc00235	Probable anthranilate phosphoribosyltransferase	CAC46239.1	2.4.2.18
1666	trpC	SMc00236	Probable indole-3-glycerol phosphate synthase 	CAC46240.1	4.1.1.48
1667	moaC	SMc00237	Probable molybdenum cofactor biosynthesis 	CAC46241.1	NA
1668	moeA	SMc00238	Probable molybdopterin biosynthesis protein	CAC46242.1	NA
1669	NA	SMc00239	Hypothetical protein	CAC46243.1	NA
1670	NA	SMc00240	Hypothetical protein signal peptide 	CAC46244.1	NA
1671	NA	SMc00241	Putative transcriptional regulator	CAC46245.1	NA
1672	NA	SMc00242	Hypothetical signal peptide protein	CAC46246.2	NA
1673	NA	SMc00244	Putative transport system permease ABC 	CAC46247.1	NA
1674	NA	SMc00243	Putative transport system permease ABC 	CAC46248.1	NA
1675	NA	SMc00245	Putative ABC transporter ATP-binding protein	CAC46249.1	NA
1676	qor	SMc00246	Probable quinone oxidoreductase	CAC46250.1	1.6.5.5
1677	pcs	SMc00247	Phosphatidylcholine synthase	CAC46251.1	2.7.8.24
1678	NA	SMc00316	Oxidoreductase UbiH/COQ6 family	CAC46252.1	1.-.-.-
1679	NA	SMc04654	Probable malonate transporter	CAC46253.1	NA
1680	tRNA-LYS_TTT	SMc00303	Putative cytochrome C-type biogenesis protein	CAC46254.1	NA
1681	NA	SMc00249	Hypothetical protein	CAC46255.1	NA
1682	NA	SMc00250	Hypothetical transmembrane protein	CAC46256.1	NA
1683	NA	SMc00251	Hypothetical protein	CAC46257.1	NA
1684	NA	SMc00252	Hypothetical protein	CAC46258.1	NA
1685	NA	SMc00253	Hypothetical signal peptide protein	CAC46259.1	NA
1686	NA	SMc00254	Conserved hypothetical protein	CAC46260.1	NA
1687	NA	SMc04437	Hypothetical protein	CAC46261.1	NA
1688	NA	SMc00255	Hypothetical protein	CAC46262.1	NA
1689	NA	SMc00256	Transcriptional regulator AraC family	CAC46263.1	NA
1690	ropB2	SMc00257	Probable outer-membrane protein	CAC46264.1	NA
1691	NA	SMc00258	Hypothetical signal peptide protein	CAC46265.1	NA
1692	NA	SMc00259	Hypothetical protein	CAC46266.2	NA
1693	NA	SMc00260	Oxidoreductase	CAC46267.1	1.-.-.-
1694	NA	SMc00261	Putative fatty-acid-CoA ligase	CAC46268.1	NA
1695	NA	SMc00262	Putative 3-ketoacyl-CoA thiolase	CAC46269.1	NA
1696	NA	SMc00263	Transcription regulator IclR family	CAC46270.1	NA
1697	NA	SMc00264	Dehydrogenase	CAC46271.1	1.-.-.-
1698	NA	SMc00265	Putative oxobutyric acid and 3-methyl oxovaleric 	CAC46272.1	NA
1699	NA	SMc00266	Putative oxobutyric acid and 3-methyl oxovaleric 	CAC46273.1	NA
1700	NA	SMc00267	Conserved hypothetical protein	CAC46274.1	NA
1701	NA	SMc00268	Dehydrogenase	CAC46275.1	1.-.-.-
1702	NA	SMc00269	Putative transketolase beta subunit	CAC46276.1	NA
1703	NA	SMc00270	Putative transketolase alpha subunit	CAC46277.1	2.2.1.1
1704	NA	SMc00271	Periplasmic solute-binding protein	CAC46278.1	NA
1705	NA	SMc00272	Transport protein	CAC46279.1	NA
1706	NA	SMc00273	Transport protein	CAC46280.1	NA
1707	NA	SMc00274	3-hydroxyisobutyrate dehydrogenase family 	CAC46281.1	1.1.-.-
1708	NA	SMc00275	Putative transcription regulator	CAC46282.1	NA
1709	NA	SMc00276	Conserved hypothetical protein	CAC46283.1	NA
1710	NA	SMc00277	Hypothetical protein	CAC46284.1	NA
1711	NA	SMc00278	Transcription regulator AsnC family	CAC46285.1	NA
1712	NA	SMc00279	Hypothetical integral membrane protein	CAC46286.1	NA
1713	NA	SMc00280	Conserved hypothetical protein	CAC46287.1	NA
1714	NA	SMc04545	Hypothetical signal peptide protein	CAC46288.1	NA
1715	NA	SMc00282	Conserved hypothetical protein	CAC46289.1	NA
1716	NA	SMc00283	Putative transcription regulator	CAC46290.1	NA
1717	NA	SMc00417	Hypothetical protein	CAC46291.1	NA
1718	TRm5	SMc00285	Transposase for insertion sequence element 	CAC46292.1	NA
1719	NA	SMc04866	Hypothetical protein	CAC46293.1	NA
1720	tRNA-ARG_TCT	SMc00308	Calcium-binding protein	CAC46294.1	NA
1721	tRNA-PRO_TGG	SMc00307	Probable NADH-ubiquinone oxidoreductase	CAC46295.1	1.6.99.3
1722	NA	SMc00288	Hypothetical signal peptide protein	CAC46296.1	NA
1723	cspA5	SMc00289	Putative cold shock transcription regulator	CAC46297.1	NA
1724	gloA	SMc00290	Probable lactoylglutathione lyase 	CAC46298.1	4.4.1.5
1725	tRNA-GLU_TTC	SMc00306	Conserved hypothetical protein	CAC46299.1	3.2.1.52
1726	recJ	SMc00292	Probable single-stranded-DNA-specific 	CAC46300.1	3.1.-.-
1727	thrA	SMc00293	Probable homoserine dehydrogenase	CAC46301.1	1.1.1.3
1728	aatC	SMc00294	Probable aminotransferase	CAC46302.1	2.6.1.-
1729	NA	SMc00295	Hypothetical protein	CAC46303.2	NA
1730	phbC	SMc00296	Poly-beta-hydroxybutyrate polymerase	CAC46304.1	2.3.1.-
1731	sfsA	SMc00297	Putative sugar fermentation stimulation protein	CAC46305.1	NA
1732	map1	SMc00298	Putative methionine aminopeptidase	CAC46306.1	3.4.11.18
1733	radC	SMc00299	Probable DNA repair protein	CAC46307.1	NA
1734	sthA	SMc00300	Probable soluble pyridine nucleotide 	CAC46308.1	1.6.1.1
1735	sufA	SMc00301	Putative FeS assembly scaffold	CAC46309.1	NA
1736	NA	SMc00302	Conserved hypothetical protein	CAC46310.1	NA
1737	csd	SMc00533	Probable cysteine desulfurase	CAC46311.1	2.8.1.7
1738	sufD	SMc00532	Putative FeS assembly protein	CAC46312.1	NA
1739	NA	SMc00531	Putative ABC transporter ATP-binding protein	CAC46313.1	NA
1740	NA	SMc00530	Probable ABC transporter	CAC46314.1	NA
1741	nifS	SMc00529	Putative cysteine desulfurase	CAC46315.1	2.8.1.7
1742	NA	SMc00528	Conserved hypothetical protein	CAC46316.1	NA
1743	NA	SMc05006	Hypothetical protein	CAQ52375.1	NA
1744	anmK	SMc00527	Putative anhydro-N-acetylmuramic acid kinase	CAC46317.1	2.7.1.-
1745	tyrS	SMc00526	Probable tyrosyl-tRNA synthetase	CAC46318.1	6.1.1.1
1746	NA	SMc00525	Hypothetical transmembrane protein	CAC46319.1	NA
1747	bcp	SMc00524	Putative bacterioferritin comigratory protein	CAC46320.1	NA
1748	NA	SMc00523	Hypothetical protein	CAC46321.1	NA
1749	NA	SMc00540	Hypothetical protein	CAC46322.2	NA
1750	NA	SMc00539	Hypothetical transmembrane protein	CAC46323.2	NA
1751	rhlE1	SMc00522	Putative ATP-dependent RNA helicase	CAC46324.1	NA
1752	NA	SMc00521	Conserved hypothetical protein	CAC46325.1	NA
1753	NA	SMc00520	Hypothetical protein	CAC46326.1	NA
1754	NA	SMc00519	Hypothetical protein	CAC46327.1	NA
1755	NA	SMc00518	Conserved hypothetical protein	CAC46328.1	NA
1756	NA	SMc00517	Conserved hypothetical protein	CAC46329.1	NA
1757	NA	SMc00516	Conserved hypothetical protein	CAC46330.1	NA
1758	NA	SMc00515	Conserved hypothetical protein	CAC46331.1	NA
1759	NA	SMc00514	Putative monooxygenase	CAC46332.1	1.14.13.3
1760	NA	SMc00513	Putative amino acid-binding periplasmic protein	CAC46333.1	NA
1761	NA	SMc00512	Conserved hypothetical protein	CAC46334.1	NA
1762	rpe	SMc00511	Probable D-ribulose-5-phosphate 3-epimerase	CAC46335.1	5.1.3.1
1763	NA	SMc00510	Hypothetical protein	CAC46336.1	NA
1764	NA	SMc00509	Hypothetical transmembrane protein	CAC46337.1	NA
1765	purB	SMc00508	Putative adenylosuccinate lyase	CAC46338.1	4.3.2.2
1766	NA	SMc00507	Hypothetical protein	CAC46339.2	NA
1767	NA	SMc00506	Hypothetical transmembrane protein	CAC46340.1	NA
1768	NA	SMc00505	Conserved hypothetical protein	CAC46341.1	NA
1769	NA	SMc00504	Putative transcription regulator	CAC46342.1	NA
1770	NA	SMc00503	Conserved hypothetical protein	CAC46343.1	NA
1771	fldZ	SMc00502	Demethylmenaquinone methyltransferase	CAC46344.1	NA
1772	NA	SMc00501	Conserved hypothetical protein	CAC46345.1	NA
1773	NA	SMc00500	Hypothetical transmembrane protein	CAC46346.1	NA
1774	NA	SMc00499	Hypothetical transmembrane protein	CAC46347.1	NA
1775	NA	SMc00498	Putative transporter	CAC46348.1	NA
1776	NA	SMc00497	Hypothetical tramsmembrane protein	CAC46349.1	NA
1777	NA	SMc00496	Hypothetical protein	CAC46350.1	NA
1778	purC	SMc00495	Probable 	CAC46351.1	6.3.2.6
1779	NA	SMc00494	Conserved hypothetical protein	CAC46352.1	NA
1780	purQ	SMc00493	Probable phosphoribosylformyl glycinamidine 	CAC46353.1	6.3.5.3
1781	NA	SMc00492	Conserved hypothetical transmembrane protein	CAC46354.1	NA
1782	NA	SMc00491	Hypothetical protein	CAC46355.1	NA
1783	NA	SMc00490	Transcription regulator GntR family	CAC46356.1	NA
1784	NA	SMc04579	Hypothetical/unknown signal peptide protein	CAC46357.1	NA
1785	purL	SMc00488	Probable phosphoribosylformyl glycinamidine 	CAC46358.1	6.3.5.3
1786	NA	SMc00487	Conserved hypothetical protein	CAC46359.1	NA
1787	NA	SMc00538	Hypothetical protein	CAC46360.1	NA
1788	NA	SMc00537	MFS-type transport protein	CAC46361.1	NA
1789	NA	SMc04670	MFS-type transport protein	CAC46362.2	NA
1790	NA	SMc00535	Inositol monophosphatase family protein	CAC46363.1	3.1.3.25
1791	NA	SMc00534	Conserved hypothetical protein	CAC46364.1	NA
1792	glsA	SMc00486	Probable glutaminase A	CAC46365.1	3.5.1.2
1793	rpsD	SMc00485	Probable 30S ribosomal subunit protein S4	CAC46366.1	NA
1794	NA	SMc00484	Hypothetical protein	CAC46367.1	NA
1795	murI	SMc00483	Probable glutamate racemase	CAC46368.1	5.1.1.3
1796	NA	SMc00482	Hypothetical tRNA/rRNA methyltransferase	CAC46369.1	2.1.1.-
1797	NA	SMc00481	Hypothetical transmembrane protein	CAC46370.1	NA
1798	icd	SMc00480	Probable isocitrate dehydrogenase [NADP] 	CAC46371.1	1.1.1.42
1799	NA	SMc00479	Transcription regulator AraC family	CAC46372.1	NA
1800	NA	SMc00549	Hypothetical protein	CAC46373.1	NA
1801	NA	SMc00478	Conserved hypothetical protein	CAC46374.1	NA
1802	NA	SMc00477	Conserved hypothetical protein	CAC46375.1	NA
1803	sulP	SMc00476	Sulfate permease and related transporters (MFS 	CAC46376.1	NA
1804	alaS	SMc00475	Alanyl-tRNA ligase	CAC46377.1	6.1.1.7
1805	recA	SMc00760	DNA strand exchange and recombination protein	CAC46378.2	NA
1806	NA	SMc00473	Putative carbohydrate kinase	CAC46379.1	2.7.1.-
1807	NA	SMc04495	Conserved hypothetical protein	CAC46380.1	NA
1808	NA	SMc00471	Putative sensor histidine kinase transmembrane 	CAC46381.1	NA
1809	NA	SMc00470	Hypothetical transmembrane protein	CAC46382.1	NA
1810	dksA	SMc00469	Putative DnaK suppresor protein	CAC46383.2	NA
1811	NA	SMc00468	Conserved hypothetical protein	CAC46384.1	NA
1812	NA	SMc00467	Conserved hypothetical protein	CAC46385.1	NA
1813	NA	SMc00466	Hypothetical transmembrane protein	CAC46386.1	NA
1814	NA	SMc00548	Conserved hypothetical signal peptide protein	CAC46387.1	NA
1815	folK	SMc00465	Probable 	CAC46388.1	2.7.6.3
1816	folB	SMc00463	Probable dihydroneopterin aldolase dhna lyase 	CAC46389.1	4.1.2.25
1817	folP	SMc00462	Probable dihydropteroate synthase antibiotic 	CAC46390.1	2.5.1.15
1818	NA	SMc00194	Hypothetical protein	CAC46391.1	NA
1819	NA	SMc00193	Hypothetical protein	CAC46392.1	NA
1820	fdx	SMc00192	Probable ferredoxin, 2FE-2S FdII electron 	CAC46393.1	NA
1821	NA	SMc00191	Hypothetical protein	CAC46394.1	NA
1822	NA	SMc04488	Hypothetical transmembrane protein	CAC46395.1	NA
1823	fbcC	SMc00189	Putative cytochrome C1 protein	CAC46396.1	NA
1824	fbcB	SMc00188	Probable cytochrome B transmembrane protein	CAC46397.1	NA
1825	fbcF	SMc00187	Probable ubiquinol-cytochrome C reductase 	CAC46398.1	1.10.2.2
1826	NA	SMc00186	Putative ABC transporter ATP-binding 	CAC46399.1	3.6.3.-
1827	NA	SMc00185	Putative ABC transporter ATP-binding 	CAC46400.1	NA
1828	NA	SMc00184	Putative tRNA/rRNA methyltransferase	CAC46401.1	2.1.1.-
1829	NA	SMc00183	Conserved hypothetical protein	CAC46402.1	NA
1830	NA	SMc00182	Probable transcriptional regulator	CAC46403.1	NA
1831	NA	SMc00196	Putative MFS permease	CAC46404.1	NA
1832	NA	SMc00181	Conserved hypothetical protein	CAC46405.1	NA
1833	hemF	SMc00180	Probable coproporphyrinogen III oxidase, aerobic 	CAC46406.1	1.3.3.3
1834	NA	SMc00179	Hypothetical protein	CAC46407.1	NA
1835	NA	SMc00178	Hypothetical protein	CAC46408.1	NA
1836	NA	SMc00177	Hypothetical protein	CAC46409.1	NA
1837	NA	SMc00176	Conserved hypothetical protein	CAC46410.1	NA
1838	NA	SMc00175	Putative ABC transporter ATP-binding protein	CAC46411.1	NA
1839	NA	SMc00174	Probable ABC transporter	CAC46412.1	NA
1840	NA	SMc00459	Probable muconate cycloisomerase	CAC46413.1	5.5.1.1
1841	hcaT	SMc00172	Probable 3-phenylpropionic acid transporter	CAC46414.1	NA
1842	NA	SMc00171	Conserved hypothetical protein	CAC46415.1	NA
1843	dme	SMc00169	NAD-malic enzyme oxidoreductase	CAC46416.1	1.1.1.39
1844	sinR	SMc00170	Quorum sensing system, AHL autoinducer-binding, 	CAC46417.1	NA
1845	sinI	SMc00168	N-acyl-L-homoserine lactone synthetase	CAC46418.1	NA
1846	NA	SMc00167	Conserved hypothetical signal peptide protein	CAC46419.1	NA
1847	bluB	SMc00166	Putative cob(II)yrinic acid a,c-diamide 	CAC46420.1	NA
1848	NA	SMc04548	Probable oxidoreductase	CAC46421.1	1.-.-.-
1849	NA	SMc00164	Conserved hypothetical protein	CAC46422.1	NA
1850	NA	SMc00163	Putative transcriptional regulator	CAC46423.1	NA
1851	tolB2	SMc00162	Probable periplasmic component of the Tol 	CAC46424.1	NA
1852	nadE2	SMc00161	Putative NH3-dependent NAD+ synthetase	CAC46425.1	6.3.5.1
1853	cgmB	SMc04438	Phosphoglycerol transferase, cyclic 	CAC46426.1	NA
1854	cgmA	SMc04550	Cyclic beta-1,2-glucan modification 	CAC46427.1	NA
1855	NA	SMc00159	Hypothetical signal peptide protein	CAC46428.1	NA
1856	NA	SMc00158	Hypothetical/unknown protein	CAC46429.1	NA
1857	NA	SMc00157	Conserved hypothetical protein	CAC46430.1	NA
1858	NA	SMc00156	Conserved hypothetical protein	CAC46431.1	NA
1859	dhs	SMc00155	Probable phospho-2-dehydro-3-deoxyheptonate 	CAC46432.1	2.5.1.54
1860	gor	SMc00154	Probable glutathione reductase	CAC46433.1	1.8.1.7
1861	NA	SMc00153	Conserved hypothetical protein	CAC46434.1	NA
1862	rpiA	SMc00152	Probable ribose 5-phosphate isomerase	CAC46435.1	5.3.1.6
1863	gph1	SMc00151	Probable phosphoglycolate phosphatase	CAC46436.1	3.1.3.18
1864	NA	SMc00150	Putative membrane protein	CAC46437.1	NA
1865	fumC	SMc00149	Probable fumarate hydratase class II	CAC46438.2	4.2.1.2
1866	NA	SMc00148	Hypothetical protein	CAC46439.1	NA
1867	NA	SMc00147	Hypothetical protein	CAC46440.2	NA
1868	NA	SMc00146	Putative transcription regulator	CAC46441.1	NA
1869	NA	SMc00145	Hypothetical protein	CAC46442.1	NA
1870	moaA	SMc00144	Probable molybdenum cofactor biosynthesis 	CAC46443.1	NA
1871	NA	SMc00197	Hypothetical transmembrane protein	CAC46444.1	NA
1872	mobA	SMc00143	Probable molybdopterin-guanine dinucleotide 	CAC46445.1	NA
1873	mobB	SMc00142	Probable molybdopterin-guanine dinucleotide 	CAC46446.1	NA
1874	NA	SMc00141	Hypothetical protein	CAC46447.1	NA
1875	NA	SMc00198	Hypothetical/unknown protein	CAC46448.1	NA
1876	NA	SMc00140	Putative amino-acid binding periplasmic protein	CAC46449.1	NA
1877	NA	SMc00139	Amino acid transport system permease	CAC46450.1	NA
1878	NA	SMc00138	Hypothetical amino-acid ABC transporter 	CAC46451.1	NA
1879	usg	SMc00137	Usg protein, probable subunit of 	CAC46452.1	NA
1880	NA	SMc00136	Dehydrogenase	CAC46453.1	1.-.-.-
1881	NA	SMc00135	Hypothetical transmembrane protein	CAC46454.1	NA
1882	NA	SMc00134	Conserved hypothetical protein	CAC46455.1	NA
1883	NA	SMc00133	Oxidoreductase	CAC46456.1	1.-.-.-
1884	NA	SMc00132	Hypothetical protein	CAC46457.1	NA
1885	NA	SMc00131	Transcription regulator AsnC family	CAC46458.1	NA
1886	NA	SMc04210	Conserved hypothetical protein	CAC46459.1	NA
1887	NA	SMc04211	Hypothetical transmembrane protein	CAC46460.1	NA
1888	NA	SMc04212	Putative sensor histidine kinase transmembrane 	CAC46461.1	NA
1889	dgkA	SMc04213	Diacylglycerol kinase	CAC46462.1	2.7.1.107
1890	cobU	SMc04214	Probable 	CAC46463.1	2.4.2.21
1891	cobS	SMc04215	Probable cobalamin 5'-phosphate synthase 	CAC46464.1	2.-.-.-
1892	NA	SMc04216	Hypothetical protein	CAC46465.1	NA
1893	NA	SMc04217	Hypothetical transmembrane signal peptide 	CAC46466.1	NA
1894	NA	SMc04218	Probable ABC transporter	CAC46467.1	NA
1895	NA	SMc04219	Putative ATP-binding ABC transporter	CAC46468.1	NA
1896	NA	SMc04220	Putative transcriptional regulator	CAC46469.1	NA
1897	NA	SMc04221	Conserved hypothetical protein	CAC46470.1	NA
1898	NA	SMc04222	Conserved hypothetical protein	CAC46471.1	NA
1899	NA	SMc04223	Putative transcriptional regulator	CAC46472.1	NA
1900	NA	SMc04224	Hypothetical protein	CAC46473.1	NA
1901	NA	SMc04225	Hypothetical protein	CAC46474.1	NA
1902	NA	SMc04226	Putative serine protease inhibitor	CAC46475.1	NA
1903	mcpV	SMc04227	Probable chemoreceptor (methyl-accepting 	CAC46476.1	NA
1904	NA	SMc04228	Probable acyl-CoA hydrolase	CAC46477.1	3.1.2.-
1905	NA	SMc04229	Hypothetical transmembrane protein	CAC46478.1	NA
1906	NA	SMc04230	Hypothetical transmembrane signal peptide 	CAC46479.1	NA
1907	uvrB	SMc04231	Probable excinuclease ABC subunit B	CAC46480.1	NA
1908	NA	SMc04232	Putative glycine-rich protein	CAC46481.1	NA
1909	NA	SMc04501	Hypothetical DnaJ domain-containing protein	CAC46482.1	NA
1910	cspA4	SMc04234	Cold shock protein	CAC46483.1	NA
1911	NA	SMc04235	Conserved hypothetical protein	CAC46484.1	NA
1912	NA	SMc04236	Putative glycine-rich cell wall structural 	CAC46485.1	NA
1913	NA	SMc04237	Hypothetical protein	CAC46486.1	NA
1914	NA	SMc04238	Conserved hypothetical protein	CAC46487.1	NA
1915	NA	SMc04239	Hypothetical protein	CAC46488.1	NA
1916	NA	SMc04240	Conserved hypothetical protein	CAC46489.1	NA
1917	NA	SMc04241	Probable ferripyochelin binding protein	CAC46490.1	2.3.1.-
1918	zur	SMc04242	Putative zinc uptake regulation protein	CAC46491.1	NA
1919	znuB	SMc04243	Probable high-affinity zinc uptake system 	CAC46492.1	NA
1920	znuC	SMc04244	Probable high-affinity zinc uptake system 	CAC46493.1	NA
1921	znuA	SMc04504	Probable high-affinity zinc uptake system ABC 	CAC46494.1	NA
1922	NA	SMc04246	Hypothetical transmembrane signal peptide 	CAC46495.1	NA
1923	NA	SMc04247	Putative beta-xylosidase	CAC46496.1	3.2.1.37
1924	NA	SMc04248	Hypothetical transmembrane protein	CAC46497.1	NA
1925	NA	SMc04464	Probable TRAP permease	CAC46498.1	NA
1926	TRm20	SMc04505	Putative transposase	CAC46499.1	NA
1927	NA	SMc05007	Hypothetical protein	CAQ52376.1	NA
1928	smoM	SMc04251	Probable periplasmic mannitol-binding protein	CAC46500.1	NA
1929	NA	SMc04252	Probable oxidoreductase	CAC46501.1	NA
1930	NA	SMc04253	Probable dehydrogenase	CAC46502.1	1.1.99.28
1931	NA	SMc04254	Conserved hypothetical protein	CAC46503.1	NA
1932	manB	SMc04255	Putative beta-mannosidase	CAC46504.1	3.2.1.25
1933	NA	SMc04256	Putative gentiobiose, salicin, and cellobiose 	CAC46505.1	NA
1934	NA	SMc04257	Putative gentiobiose, salicin, and cellobiose 	CAC46506.2	NA
1935	NA	SMc04258	Putative gentiobiose, salicin, and cellobiose 	CAC46507.1	NA
1936	NA	SMc04259	Putative gentiobiose, salicin, and cellobiose 	CAC46508.1	NA
1937	NA	SMc04506	Probable transcriptional regulator	CAC46509.1	NA
1938	NA	SMc04261	Hypothetical protein	CAC46510.2	NA
